"","MSOA11CD","LSOA11CD","OA11CD","LSOA11NM","MSOA11NM","LAD11CD","LAD11NM","LAD11NMW","nonUK","nonUKZoneProp.oa","Country of Birth: All categories: Country of birth","nonUK.lsoa","Country of Birth: All categories: Country of birth.lsoa","nonUK.msoa","Country of Birth: All categories: Country of birth.msoa","nonUKZoneProp.lsoa","nonUKZoneProp.msoa"
"163","E02001584","E01007808","E00039515","Rotherham 007E","Rotherham 007","E08000018","Rotherham","",8,2.73037542662116,293,28,1469,129,7105,1.90605854322668,1.81562280084448
"164","E02001584","E01007696","E00038996","Rotherham 007A","Rotherham 007","E08000018","Rotherham","",6,2.20588235294118,272,30,1478,129,7105,2.0297699594046,1.81562280084448
"165","E02001584","E01007801","E00039510","Rotherham 007B","Rotherham 007","E08000018","Rotherham","",7,2.23642172523962,313,29,1491,129,7105,1.94500335345406,1.81562280084448
"166","E02001584","E01007802","E00039517","Rotherham 007C","Rotherham 007","E08000018","Rotherham","",4,1.2012012012012,333,23,1330,129,7105,1.72932330827068,1.81562280084448
"167","E02001584","E01007801","E00168787","Rotherham 007B","Rotherham 007","E08000018","Rotherham","",2,1.25,160,29,1491,129,7105,1.94500335345406,1.81562280084448
"168","E02001584","E01007801","E00039544","Rotherham 007B","Rotherham 007","E08000018","Rotherham","",8,2.74914089347079,291,29,1491,129,7105,1.94500335345406,1.81562280084448
"169","E02001584","E01007808","E00039540","Rotherham 007E","Rotherham 007","E08000018","Rotherham","",7,2.3489932885906,298,28,1469,129,7105,1.90605854322668,1.81562280084448
"170","E02001584","E01007696","E00038994","Rotherham 007A","Rotherham 007","E08000018","Rotherham","",5,2.5,200,30,1478,129,7105,2.0297699594046,1.81562280084448
"171","E02001584","E01007696","E00038993","Rotherham 007A","Rotherham 007","E08000018","Rotherham","",4,1.12994350282486,354,30,1478,129,7105,2.0297699594046,1.81562280084448
"172","E02001584","E01007696","E00038995","Rotherham 007A","Rotherham 007","E08000018","Rotherham","",8,2.20994475138122,362,30,1478,129,7105,2.0297699594046,1.81562280084448
"173","E02001584","E01007696","E00038997","Rotherham 007A","Rotherham 007","E08000018","Rotherham","",6,4.61538461538462,130,30,1478,129,7105,2.0297699594046,1.81562280084448
"174","E02001584","E01007808","E00039516","Rotherham 007E","Rotherham 007","E08000018","Rotherham","",7,2.32558139534884,301,28,1469,129,7105,1.90605854322668,1.81562280084448
"175","E02001584","E01007802","E00039541","Rotherham 007C","Rotherham 007","E08000018","Rotherham","",5,1.48367952522255,337,23,1330,129,7105,1.72932330827068,1.81562280084448
"176","E02001584","E01007802","E00039539","Rotherham 007C","Rotherham 007","E08000018","Rotherham","",4,1.13636363636364,352,23,1330,129,7105,1.72932330827068,1.81562280084448
"177","E02001584","E01007808","E00039538","Rotherham 007E","Rotherham 007","E08000018","Rotherham","",3,0.986842105263158,304,28,1469,129,7105,1.90605854322668,1.81562280084448
"178","E02001584","E01007696","E00038992","Rotherham 007A","Rotherham 007","E08000018","Rotherham","",1,0.625,160,30,1478,129,7105,2.0297699594046,1.81562280084448
"179","E02001584","E01007801","E00168788","Rotherham 007B","Rotherham 007","E08000018","Rotherham","",2,0.78125,256,29,1491,129,7105,1.94500335345406,1.81562280084448
"180","E02001585","E01007776","E00039373","Rotherham 008B","Rotherham 008","E08000018","Rotherham","",19,7.1969696969697,264,77,1487,303,6263,5.17821116341627,4.83793709085103
"181","E02001585","E01007784","E00039408","Rotherham 008D","Rotherham 008","E08000018","Rotherham","",15,4.80769230769231,312,95,1761,303,6263,5.3946621237933,4.83793709085103
"182","E02001585","E01007776","E00039372","Rotherham 008B","Rotherham 008","E08000018","Rotherham","",2,0.687285223367698,291,77,1487,303,6263,5.17821116341627,4.83793709085103
"183","E02001585","E01007776","E00039371","Rotherham 008B","Rotherham 008","E08000018","Rotherham","",19,5.32212885154062,357,77,1487,303,6263,5.17821116341627,4.83793709085103
"184","E02001585","E01007784","E00039409","Rotherham 008D","Rotherham 008","E08000018","Rotherham","",19,4.05117270788913,469,95,1761,303,6263,5.3946621237933,4.83793709085103
"185","E02001585","E01007776","E00039369","Rotherham 008B","Rotherham 008","E08000018","Rotherham","",21,7.09459459459459,296,77,1487,303,6263,5.17821116341627,4.83793709085103
"186","E02001585","E01007776","E00039368","Rotherham 008B","Rotherham 008","E08000018","Rotherham","",16,5.73476702508961,279,77,1487,303,6263,5.17821116341627,4.83793709085103
"187","E02001585","E01007783","E00039405","Rotherham 008C","Rotherham 008","E08000018","Rotherham","",11,4.86725663716814,226,85,1674,303,6263,5.07765830346476,4.83793709085103
"188","E02001585","E01007784","E00039403","Rotherham 008D","Rotherham 008","E08000018","Rotherham","",30,8.64553314121038,347,95,1761,303,6263,5.3946621237933,4.83793709085103
"189","E02001585","E01007784","E00039398","Rotherham 008D","Rotherham 008","E08000018","Rotherham","",12,3.56083086053412,337,95,1761,303,6263,5.3946621237933,4.83793709085103
"190","E02001585","E01007775","E00039370","Rotherham 008A","Rotherham 008","E08000018","Rotherham","",8,2.53164556962025,316,46,1341,303,6263,3.43027591349739,4.83793709085103
"191","E02001585","E01007783","E00039401","Rotherham 008C","Rotherham 008","E08000018","Rotherham","",12,4.02684563758389,298,85,1674,303,6263,5.07765830346476,4.83793709085103
"192","E02001585","E01007784","E00039406","Rotherham 008D","Rotherham 008","E08000018","Rotherham","",19,6.41891891891892,296,95,1761,303,6263,5.3946621237933,4.83793709085103
"193","E02001585","E01007783","E00039402","Rotherham 008C","Rotherham 008","E08000018","Rotherham","",8,3.08880308880309,259,85,1674,303,6263,5.07765830346476,4.83793709085103
"194","E02001585","E01007775","E00039367","Rotherham 008A","Rotherham 008","E08000018","Rotherham","",19,6.78571428571429,280,46,1341,303,6263,3.43027591349739,4.83793709085103
"195","E02001585","E01007775","E00039364","Rotherham 008A","Rotherham 008","E08000018","Rotherham","",7,1.87667560321716,373,46,1341,303,6263,3.43027591349739,4.83793709085103
"196","E02001585","E01007783","E00039404","Rotherham 008C","Rotherham 008","E08000018","Rotherham","",24,7.10059171597633,338,85,1674,303,6263,5.07765830346476,4.83793709085103
"197","E02001585","E01007775","E00039393","Rotherham 008A","Rotherham 008","E08000018","Rotherham","",12,3.2258064516129,372,46,1341,303,6263,3.43027591349739,4.83793709085103
"198","E02001585","E01007783","E00039397","Rotherham 008C","Rotherham 008","E08000018","Rotherham","",17,5.27950310559006,322,85,1674,303,6263,5.07765830346476,4.83793709085103
"199","E02001585","E01007783","E00039407","Rotherham 008C","Rotherham 008","E08000018","Rotherham","",13,5.62770562770563,231,85,1674,303,6263,5.07765830346476,4.83793709085103
"200","E02001586","E01007732","E00039153","Rotherham 009E","Rotherham 009","E08000018","Rotherham","",5,1.54798761609907,323,36,1415,232,8129,2.54416961130742,2.85397957928404
"201","E02001586","E01007730","E00039169","Rotherham 009C","Rotherham 009","E08000018","Rotherham","",3,1.2987012987013,231,47,1417,232,8129,3.31686661961891,2.85397957928404
