LSOAcode,Anti-social behaviour,Burglary,Criminal damage and arson,Drugs,Other crime,Other theft,Public disorder and weapons,Robbery,Shoplifting,Vehicle crime,Violent crime,allCrimePer1000Pop,allCrimePer1000Pop_ExclASB
E01007317,78.3657066309444,7.367716008037508,4.018754186202277,NA,20.763563295378432,1.3395847287340923,NA,1.3395847287340923,NA,7.367716008037508,16.07501674480911,136.6376423308774,58.27193569993302
E01007318,74.48186528497409,4.533678756476683,3.238341968911917,NA,22.668393782383422,2.5906735751295336,NA,NA,NA,5.829015544041451,12.305699481865286,125.64766839378238,51.16580310880829
E01007319,81.22866894197952,12.969283276450511,4.09556313993174,0.6825938566552902,71.67235494880546,4.09556313993174,NA,1.3651877133105803,11.604095563139932,2.04778156996587,7.508532423208191,197.26962457337885,116.04095563139931
E01007320,111.52882205513784,10.025062656641603,6.8922305764411025,3.132832080200501,78.32080200501252,4.385964912280701,NA,NA,18.170426065162907,6.265664160401002,23.809523809523807,262.531328320802,151.00250626566415
E01007321,40.4745289602233,2.7913468248429867,1.3956734124214933,1.3956734124214933,10.4675505931612,NA,NA,NA,0.6978367062107467,2.7913468248429867,3.4891835310537336,63.50314026517794,23.02861130495464
E01007322,94.62055715658022,13.928914505283382,6.243996157540826,3.3621517771373677,37.944284341978864,2.881844380403458,NA,0.9606147934678194,3.3621517771373677,14.40922190201729,8.165225744476464,185.87896253602307,91.25840537944283
E01007323,103.84356035064059,8.766014834794335,6.068779501011463,1.3486176668914363,33.041132838840184,4.720161834120027,0.6743088334457181,NA,10.114632501685772,2.0229265003371544,6.068779501011463,176.66891436277814,72.82535401213755
E01007324,65.3869226154769,22.795440911817636,7.798440311937612,NA,53.38932213557288,2.999400119976005,NA,NA,7.798440311937612,7.798440311937612,15.596880623875224,183.56328734253148,118.17636472705459
E01007325,87.51458576429405,9.918319719953326,7.584597432905484,1.1668611435239205,22.75379229871645,4.667444574095682,0.5834305717619602,NA,NA,4.667444574095682,14.002333722287048,152.8588098016336,65.34422403733956
E01007326,65.53079947575361,11.795543905635649,11.795543905635649,1.965923984272608,22.280471821756226,9.82961992136304,0.6553079947575361,NA,0.6553079947575361,4.587155963302752,11.140235910878113,140.23591087811272,74.70511140235911
E01007327,100.83532219570405,22.673031026252982,3.579952267303103,1.7899761336515514,41.766109785202865,13.723150357995227,NA,0.5966587112171838,NA,16.109785202863964,7.756563245823389,208.83054892601433,107.99522673031026
E01007328,108.74089490114464,4.682622268470343,3.6420395421436007,1.040582726326743,21.33194588969823,4.682622268470343,NA,NA,NA,5.7232049947970864,12.486992715920914,162.3309053069719,53.59001040582726
E01007329,48.93350062735257,6.900878293601004,2.509410288582183,1.2547051442910915,8.782936010037641,9.410288582183187,NA,NA,NA,11.292346298619824,3.764115432873275,92.84818067754078,43.9146800501882
E01007330,43.32552693208431,8.782201405152223,0.585480093676815,NA,15.22248243559719,2.927400468384075,NA,NA,NA,8.196721311475411,5.269320843091335,84.30913348946136,40.98360655737705
E01007331,51.268213707501346,5.936319481921209,3.7776578521316786,1.618996222342148,11.872638963842418,5.936319481921209,0.5396654074473827,NA,2.1586616297895307,7.0156502968159735,4.317323259579061,94.44144630329195,43.17323259579061
E01007332,119.6877710320902,6.5047701647875105,9.540329575021683,2.168256721595837,48.13529921942758,10.407632263660018,1.3009540329575022,0.43365134431916735,5.637467476149176,6.071118820468344,13.876843018213355,223.76409366869038,104.07632263660017
E01007333,93.16303531179564,9.767092411720512,4.507888805409467,1.5026296018031555,17.280240420736288,5.259203606311044,0.7513148009015778,0.7513148009015778,0.7513148009015778,2.2539444027047333,12.772351615326823,148.7603305785124,55.597295266716756
E01007334,48.67256637168141,4.424778761061947,4.424778761061947,2.2123893805309733,14.749262536873156,0.7374631268436578,0.7374631268436578,NA,0.7374631268436578,5.162241887905605,4.424778761061947,86.28318584070796,37.610619469026545
E01007335,56.44090305444887,5.3120849933598935,NA,NA,7.968127490039841,0.6640106241699867,0.6640106241699867,NA,NA,9.296148738379815,2.6560424966799467,83.00132802124834,26.56042496679947
E01007336,215.1573538856776,14.771997430956969,15.414258188824663,19.910083493898522,78.9980732177264,15.414258188824663,1.9267822736030829,1.9267822736030829,1.2845215157353884,14.129736673089274,41.10468850353243,420.03853564547205,204.8811817597945
E01007337,128.45070422535213,19.154929577464788,8.450704225352112,3.9436619718309855,50.70422535211268,8.450704225352112,2.2535211267605635,1.1267605633802817,NA,15.211267605633802,16.901408450704224,254.64788732394368,126.19718309859155
E01007338,157.20808871493801,16.307893020221787,6.523157208088715,8.48010437051533,69.79778212654925,4.5662100456621,3.2615786040443573,1.9569471624266144,1.304631441617743,15.655577299412915,48.271363339856485,333.3333333333333,176.1252446183953
E01007339,111.40939597315436,11.409395973154362,6.7114093959731544,2.6845637583892614,25.503355704697984,1.3422818791946307,1.3422818791946307,2.0134228187919465,0.6711409395973154,8.7248322147651,21.47651006711409,193.28859060402684,81.87919463087248
E01007340,412.5916870415648,28.728606356968214,22.616136919315405,41.56479217603912,441.320293398533,46.45476772616137,22.616136919315405,2.444987775061125,92.29828850855745,19.559902200489,190.70904645476773,1320.9046454767727,908.3129584352079
E01007341,66.45569620253164,23.734177215189874,3.9556962025316458,0.7911392405063291,22.943037974683545,1.5822784810126582,1.5822784810126582,NA,NA,11.075949367088608,10.284810126582277,142.40506329113924,75.9493670886076
E01007342,69.38483547925608,5.7224606580829755,0.7153075822603719,1.4306151645207439,20.028612303290416,2.8612303290414878,1.4306151645207439,NA,NA,7.868383404864091,10.014306151645208,119.45636623748211,50.07153075822604
E01007343,80.98068350668649,8.172362555720655,4.457652303120357,0.7429420505200593,26.00297176820208,0.7429420505200593,NA,0.7429420505200593,NA,8.172362555720655,12.63001485884101,142.64487369985142,61.664190193164934
E01007344,65.10538641686182,14.988290398126464,6.557377049180328,NA,29.97658079625293,4.68384074941452,NA,1.405152224824356,7.962529274004685,4.215456674473068,3.747072599531616,138.6416861826698,73.53629976580797
E01007345,75.92592592592592,12.962962962962962,11.728395061728396,1.2345679012345678,35.18518518518519,3.7037037037037037,1.8518518518518519,1.8518518518518519,2.4691358024691357,10.493827160493828,8.641975308641975,166.0493827160494,90.12345679012346
E01007346,95.06172839506173,12.345679012345679,6.172839506172839,0.6172839506172839,29.62962962962963,3.7037037037037037,0.6172839506172839,0.6172839506172839,3.0864197530864197,6.172839506172839,10.493827160493828,168.51851851851853,73.45679012345678
E01007347,82.18318695106649,13.801756587202007,2.509410288582183,0.6273525721455457,8.782936010037641,2.509410288582183,0.6273525721455457,NA,NA,4.391468005018821,1.2547051442910915,116.68757841907151,34.50439146800502
E01007348,12.465373961218837,4.84764542936288,2.0775623268698062,NA,6.925207756232687,1.3850415512465375,1.3850415512465375,0.6925207756232687,NA,3.4626038781163433,1.3850415512465375,34.62603878116344,22.160664819944596
E01007349,52.18525766470972,9.784735812133071,5.870841487279844,0.6523157208088715,20.874103065883887,3.9138943248532287,NA,0.6523157208088715,NA,5.870841487279844,9.784735812133071,109.58904109589041,57.403783431180685
E01007350,15.189873417721518,10.126582278481013,2.5316455696202533,0.8438818565400844,12.658227848101266,3.3755274261603376,NA,NA,NA,6.751054852320675,4.219409282700422,55.69620253164557,40.50632911392405
E01007351,9.817671809256662,4.207573632538569,0.7012622720897616,2.1037868162692845,25.245441795231415,2.1037868162692845,NA,0.7012622720897616,NA,5.610098176718092,7.012622720897616,57.50350631136045,47.68583450210378
E01007352,23.371104815864022,3.5410764872521248,6.373937677053824,0.708215297450425,16.9971671388102,0.708215297450425,0.708215297450425,0.708215297450425,0.708215297450425,4.24929178470255,4.957507082152975,63.03116147308782,39.6600566572238
E01007353,11.838006230529595,5.607476635514018,4.361370716510903,0.6230529595015577,23.67601246105919,2.492211838006231,NA,NA,1.2461059190031154,4.361370716510903,8.722741433021806,62.92834890965732,51.09034267912772
E01007354,51.160023795359905,3.569303985722784,3.569303985722784,1.1897679952409281,33.31350386674598,0.5948839976204641,NA,NA,6.543723973825104,8.328375966686496,4.7590719809637125,113.02795954788816,61.867935752528254
E01007355,11.060507482108001,1.951854261548471,0.6506180871828238,0.6506180871828238,3.903708523096942,1.3012361743656475,NA,NA,NA,2.602472348731295,4.554326610279766,26.67534157449577,15.614834092387769
E01007356,26.792179580014484,3.620564808110065,2.896451846488052,NA,15.206372194062274,2.896451846488052,NA,NA,NA,5.068790731354091,1.448225923244026,57.92903692976104,31.13685734974656
E01007357,57.2655690765927,3.5790980672870436,3.5790980672870436,2.1474588403722263,12.168933428775949,1.4316392269148175,0.7158196134574087,NA,0.7158196134574087,5.72655690765927,4.294917680744453,91.62491052254832,34.35934144595562
E01007358,26.720106880427522,10.02004008016032,2.004008016032064,NA,18.03607214428858,1.3360053440213762,NA,0.6680026720106881,NA,4.676018704074816,6.012024048096192,69.47227788911155,42.75217100868404
E01007359,66.26905235255136,7.28959575878065,2.6507620941020544,2.6507620941020544,11.928429423459244,NA,0.6626905235255136,NA,2.6507620941020544,7.952286282306162,7.952286282306162,110.00662690523525,43.737574552683895
E01007360,41.39715394566624,7.115135834411385,3.8809831824062098,1.29366106080207,12.289780077619664,NA,NA,0.646830530401035,NA,3.2341526520051747,6.468305304010349,76.32600258732212,34.92884864165589
E01007361,54.95169082125604,6.642512077294686,1.8115942028985508,1.8115942028985508,18.719806763285025,2.4154589371980677,NA,NA,1.2077294685990339,6.038647342995169,10.265700483091788,103.86473429951691,48.913043478260875
E01007362,17.14635639926516,8.57317819963258,1.224739742804654,0.612369871402327,9.797917942437232,3.674219228413962,NA,NA,NA,9.797917942437232,5.511328842620943,56.33802816901409,39.19167176974893
E01007363,66.66666666666667,1.2698412698412698,5.714285714285714,1.2698412698412698,11.428571428571429,0.6349206349206349,2.5396825396825395,NA,NA,4.444444444444445,8.253968253968255,102.22222222222223,35.55555555555556
E01007364,53.23741007194244,12.23021582733813,2.158273381294964,NA,7.194244604316547,0.7194244604316546,NA,NA,1.4388489208633093,2.158273381294964,3.5971223021582737,82.73381294964028,29.496402877697843
E01007365,66.006600660066,5.775577557755775,3.3003300330033003,1.6501650165016502,18.151815181518153,2.4752475247524752,0.8250825082508251,NA,0.8250825082508251,4.9504950495049505,4.125412541254125,108.08580858085807,42.07920792079208
E01007366,25.93516209476309,10.972568578553616,4.488778054862843,NA,12.468827930174564,0.4987531172069825,NA,NA,NA,2.493765586034913,5.486284289276808,62.34413965087282,36.408977556109726
E01007367,78.09847198641766,9.33786078098472,2.5466893039049237,0.8488964346349746,22.920203735144312,0.8488964346349746,NA,NA,NA,8.488964346349746,5.942275042444821,129.03225806451613,50.93378607809847
E01007368,112.83582089552239,8.955223880597016,5.3731343283582085,1.791044776119403,23.880597014925375,1.1940298507462688,0.5970149253731344,NA,1.1940298507462688,3.582089552238806,7.164179104477612,166.56716417910448,53.73134328358209
E01007369,210.73825503355707,57.71812080536913,15.436241610738255,2.0134228187919465,57.71812080536913,8.053691275167786,1.3422818791946307,1.3422818791946307,12.080536912751677,12.080536912751677,22.14765100671141,400.67114093959736,189.93288590604027
E01007370,128.14974802015837,28.077753779697623,10.79913606911447,1.4398848092152627,35.99712023038157,2.1598272138228944,NA,NA,NA,8.639308855291578,8.639308855291578,223.90208783297334,95.75233981281498
E01007371,56.29477993858751,18.42374616171955,7.164790174002047,0.5117707267144319,20.98259979529171,2.5588536335721597,NA,NA,NA,5.629477993858751,6.1412487205731825,117.70726714431935,61.41248720573183
E01007372,108.78010878010879,8.547008547008549,8.547008547008549,2.331002331002331,27.195027195027198,3.108003108003108,NA,NA,NA,3.885003885003885,6.993006993006993,169.3861693861694,60.60606060606061
E01007373,119.1969887076537,21.329987452948558,6.900878293601004,1.2547051442910915,20.075282308657464,6.900878293601004,0.6273525721455457,NA,1.8820577164366374,5.646173149309912,9.410288582183187,193.2245922208281,74.0276035131744
E01007374,77.55102040816327,5.442176870748299,4.081632653061225,NA,19.727891156462583,3.401360544217687,NA,NA,NA,4.761904761904763,4.081632653061225,119.04761904761905,41.49659863945578
E01007375,108.499095840868,12.658227848101266,9.041591320072333,2.4110910186859553,40.38577456298975,3.0138637733574445,NA,NA,1.2055455093429777,7.2332730560578655,10.849909584086799,195.29837251356238,86.79927667269439
E01007376,153.5181236673774,31.982942430703627,10.660980810234541,1.4214641080312722,73.91613361762616,7.818052594171997,4.264392324093817,NA,19.90049751243781,9.950248756218905,12.082444918265814,325.51528073916137,171.99715707178393
E01007377,118.55203619909501,15.384615384615385,14.479638009049774,2.7149321266968323,30.76923076923077,6.334841628959276,1.8099547511312217,NA,NA,3.6199095022624435,8.144796380090499,201.80995475113122,83.2579185520362
E01007378,83.96946564885496,15.903307888040713,5.7251908396946565,1.9083969465648853,31.806615776081426,5.089058524173028,NA,NA,0.6361323155216285,5.089058524173028,6.997455470737914,157.12468193384225,73.15521628498728
E01007379,22.62727844123193,4.3997485857950975,1.8856065367693275,0.6285355122564426,8.799497171590195,3.1426775612822127,NA,NA,NA,5.656819610307982,1.8856065367693275,49.02576995600251,26.398491514770587
E01007380,19.889502762430936,4.972375690607734,2.2099447513812156,0.5524861878453039,8.839779005524862,1.6574585635359116,NA,NA,NA,8.839779005524862,1.6574585635359116,48.61878453038674,28.7292817679558
E01007381,36.19909502262444,4.524886877828055,NA,NA,7.110536522301228,1.292824822236587,NA,0.6464124111182935,NA,3.232062055591467,3.232062055591467,56.23787976729154,20.038784744667097
E01007382,73.49966284558327,9.440323668240055,4.045853000674309,2.6972353337828725,22.92650033715442,2.6972353337828725,0.6743088334457181,NA,1.3486176668914363,2.6972353337828725,4.045853000674309,124.07282535401214,50.573162508428865
E01007383,25.547445255474454,2.18978102189781,2.18978102189781,NA,3.6496350364963503,2.18978102189781,NA,NA,NA,1.4598540145985401,0.7299270072992701,37.956204379562045,12.408759124087592
E01007384,24.783147459727388,6.195786864931847,2.4783147459727384,0.6195786864931846,4.956629491945477,1.2391573729863692,0.6195786864931846,0.6195786864931846,NA,2.4783147459727384,1.2391573729863692,45.22924411400248,20.44609665427509
E01007385,65.59665038381019,5.582693649685973,1.3956734124214933,2.7913468248429867,13.258897418004187,0.6978367062107467,0.6978367062107467,NA,NA,4.1870202372644805,9.769713886950454,103.97766922540126,38.38101884159107
E01007386,28.004667444574096,5.834305717619603,0.5834305717619602,0.5834305717619602,16.919486581096848,NA,0.5834305717619602,NA,0.5834305717619602,1.750291715285881,5.250875145857643,60.09334889148191,32.08868144690781
E01007387,37.1900826446281,6.887052341597796,1.3774104683195594,NA,11.019283746556475,2.066115702479339,NA,2.066115702479339,NA,9.641873278236915,1.3774104683195594,71.62534435261708,34.435261707988985
E01007388,73.06501547987617,9.287925696594426,3.0959752321981426,3.0959752321981426,21.052631578947366,1.238390092879257,0.6191950464396285,NA,NA,8.6687306501548,3.0959752321981426,123.21981424148608,50.154798761609904
E01007389,48.710601719197705,1.4326647564469914,NA,0.7163323782234957,17.908309455587393,0.7163323782234957,NA,2.1489971346704873,NA,7.163323782234958,2.865329512893983,81.6618911174785,32.95128939828081
E01007390,49.77079240340537,9.1683038637852,6.5487884741322855,0.6548788474132285,20.301244269810084,1.309757694826457,NA,NA,NA,10.478061558611657,7.203667321545514,105.4354944335298,55.664702030124424
E01007391,109.67302452316076,13.623978201634877,9.536784741144414,4.768392370572207,44.95912806539509,2.7247956403269753,0.6811989100817438,0.6811989100817438,2.7247956403269753,6.8119891008174385,10.217983651226158,206.4032697547684,96.73024523160763
E01007392,53.96618985695709,4.551365409622886,5.851755526657998,1.3003901170351106,14.304291287386215,1.9505851755526658,NA,NA,NA,2.6007802340702213,7.152145643693108,91.67750325097529,37.711313394018205
E01007393,71.31192161132282,3.810560696788242,4.354926510615134,1.633097441480675,10.887316276537833,1.633097441480675,0.5443658138268918,NA,NA,7.076755579749592,4.899292324442025,106.15133369624388,34.839412084921065
E01007394,62.13872832369942,5.057803468208093,9.39306358381503,1.445086705202312,21.67630057803468,1.445086705202312,0.722543352601156,NA,NA,7.22543352601156,6.502890173410405,115.60693641618496,53.46820809248555
E01007395,54.067460317460316,3.968253968253968,2.976190476190476,0.992063492063492,14.88095238095238,0.496031746031746,0.496031746031746,NA,NA,2.4801587301587302,6.944444444444444,87.3015873015873,33.23412698412698
E01007396,50.0,13.924050632911392,1.2658227848101267,1.2658227848101267,29.746835443037973,3.7974683544303796,0.6329113924050633,0.6329113924050633,0.6329113924050633,4.4303797468354436,3.7974683544303796,110.12658227848101,60.12658227848101
E01007397,88.59890109890111,19.917582417582416,8.928571428571429,4.807692307692308,26.785714285714285,6.868131868131868,2.0604395604395607,1.3736263736263736,2.7472527472527473,9.615384615384617,7.554945054945055,179.25824175824178,90.65934065934066
E01007398,55.75980392156863,13.480392156862745,5.514705882352941,3.063725490196078,25.122549019607845,2.450980392156863,1.2254901960784315,NA,NA,6.127450980392156,2.450980392156863,115.19607843137256,59.43627450980392
E01007399,58.8235294117647,6.319883325230919,1.4584346135148274,1.9445794846864364,14.584346135148275,1.4584346135148274,NA,0.9722897423432182,NA,7.292173067574137,3.403014098201264,96.2566844919786,37.43315508021391
E01007400,67.42687159147248,8.924144769459593,4.95785820525533,0.9915716410510659,19.335647000495786,1.487357461576599,0.49578582052553294,NA,NA,9.419930589985126,8.924144769459593,121.9633118492811,54.53644025780863
E01007402,72.28915662650603,6.024096385542169,4.819277108433735,1.2048192771084338,21.08433734939759,1.8072289156626506,NA,0.6024096385542169,0.6024096385542169,3.0120481927710845,8.433734939759036,119.87951807228916,47.59036144578313
E01007403,126.953125,10.416666666666666,1.3020833333333333,1.953125,21.484375,3.2552083333333335,3.2552083333333335,NA,NA,7.8125,16.927083333333332,193.359375,66.40625
E01007404,68.37606837606839,10.878010878010878,0.777000777000777,NA,14.763014763014764,1.554001554001554,NA,NA,NA,7.77000777000777,3.885003885003885,108.00310800310801,39.62703962703963
E01007405,62.76445698166432,14.104372355430185,3.526093088857546,NA,27.503526093088855,0.7052186177715092,NA,0.7052186177715092,NA,7.757404795486601,9.873060648801129,126.93935119887165,64.17489421720734
E01007406,84.88372093023256,9.30232558139535,5.232558139534883,1.744186046511628,28.48837209302326,2.9069767441860463,NA,NA,0.5813953488372093,10.465116279069766,6.976744186046512,150.58139534883722,65.69767441860465
E01007408,82.45382585751979,3.2981530343007917,0.6596306068601583,2.638522427440633,11.213720316622691,1.3192612137203166,0.6596306068601583,0.6596306068601583,NA,5.277044854881266,5.936675461741425,114.11609498680738,31.662269129287598
E01007409,34.29355281207133,8.23045267489712,6.172839506172839,0.6858710562414265,13.031550068587105,3.429355281207133,0.6858710562414265,NA,NA,6.858710562414266,4.11522633744856,77.50342935528121,43.20987654320987
E01007410,148.9883507050889,12.875536480686696,4.291845493562231,6.131207847946046,75.41385652973635,6.7443286327406495,1.8393623543838136,0.6131207847946045,26.364193746167995,14.714898835070509,18.393623543838135,316.3703249540159,167.38197424892704
E01007411,104.11418975650713,8.39630562552477,10.915197313182201,NA,27.707808564231737,0.8396305625524769,1.6792611251049538,NA,NA,8.39630562552477,5.037783375314861,167.0864819479429,62.97229219143577
E01007413,106.7457375833951,10.378057820607857,7.4128984432913265,2.223869532987398,28.910303928836175,5.189028910303929,2.965159377316531,NA,NA,5.189028910303929,10.378057820607857,179.3921423276501,72.64640474425501
E01007414,57.38705738705738,8.547008547008549,2.442002442002442,2.442002442002442,45.78754578754578,4.273504273504274,NA,1.221001221001221,1.8315018315018314,4.884004884004884,11.5995115995116,140.4151404151404,83.02808302808303
E01007415,66.22073578595318,7.357859531772575,5.351170568561873,0.6688963210702341,14.71571906354515,4.013377926421405,NA,1.3377926421404682,NA,4.013377926421405,4.682274247491638,108.36120401337793,42.14046822742475
E01007416,61.13902847571189,4.187604690117253,4.187604690117253,0.8375209380234506,22.613065326633166,0.8375209380234506,NA,0.8375209380234506,NA,2.512562814070352,12.56281407035176,109.71524288107203,48.57621440536013
E01007417,113.76492771841609,5.02828409805154,9.428032683846636,3.771213073538655,39.597737272155875,4.3997485857950975,NA,NA,5.656819610307982,6.913890634820867,7.54242614707731,196.10307982401005,82.33815210559396
E01007418,28.146989835809226,8.600469116497262,1.563721657544957,0.7818608287724785,11.727912431587178,3.127443315089914,0.7818608287724785,NA,NA,3.9093041438623923,2.3455824863174355,60.985144644253324,32.838154808444095
E01007419,26.147588611272514,2.905287623474724,1.1621150493898895,NA,8.134805345729227,2.905287623474724,0.5810575246949448,NA,NA,0.5810575246949448,1.7431725740848345,44.1603718768158,18.012783265543288
E01007420,27.932960893854748,9.078212290502794,1.3966480446927374,0.6983240223463687,18.156424581005588,2.094972067039106,NA,NA,NA,NA,0.6983240223463687,60.055865921787714,32.122905027932966
E01007421,28.57142857142857,5.263157894736842,3.0075187969924815,NA,5.263157894736842,4.511278195488722,NA,NA,NA,4.511278195488722,2.255639097744361,53.38345864661654,24.81203007518797
E01007422,11.457670273711011,3.182686187141948,1.273074474856779,NA,17.82304264799491,1.273074474856779,NA,NA,4.4557606619987276,3.819223424570337,2.546148949713558,45.83068109484405,34.373010821133036
E01007423,37.46223564954683,4.833836858006042,1.8126888217522659,NA,5.438066465256798,NA,0.6042296072507553,NA,NA,0.6042296072507553,5.438066465256798,56.19335347432024,18.731117824773413
E01007424,44.28485936564931,7.1813285457809695,5.3859964093357275,1.196888090963495,46.08019150209455,9.57510472770796,NA,NA,0.5984440454817475,8.976660682226212,2.9922202274087373,126.2716935966487,81.98683423099939
E01007425,22.448979591836732,5.442176870748299,0.6802721088435374,NA,7.482993197278911,2.0408163265306123,NA,NA,NA,3.401360544217687,4.761904761904763,46.25850340136054,23.80952380952381
E01007426,21.822849807445444,5.7766367137355585,0.6418485237483953,3.851091142490372,3.851091142490372,0.6418485237483953,NA,NA,0.6418485237483953,5.7766367137355585,NA,43.003851091142494,21.181001283697046
E01007427,38.61003861003861,2.574002574002574,NA,NA,14.8005148005148,1.9305019305019306,0.6435006435006435,0.6435006435006435,NA,3.8610038610038613,6.435006435006435,69.4980694980695,30.88803088803089
E01007428,69.8961937716263,4.844290657439446,6.920415224913495,6.920415224913495,28.37370242214533,5.536332179930795,0.6920415224913494,NA,3.4602076124567476,5.536332179930795,8.304498269896195,140.48442906574394,70.58823529411765
E01007429,62.587904360056264,2.109704641350211,1.4064697609001406,2.109704641350211,23.206751054852322,1.4064697609001406,NA,NA,NA,4.922644163150492,4.219409282700422,101.96905766526021,39.38115330520394
E01007430,42.59991216512956,3.0742204655248133,1.756697408871322,NA,5.709266578831796,1.3175230566534915,NA,NA,NA,1.756697408871322,4.830917874396135,61.04523495827844,18.44532279314888
E01007431,29.347028613352897,2.201027146001467,1.467351430667645,NA,8.070432868672047,0.7336757153338225,NA,NA,NA,NA,2.93470286133529,44.754218635363166,15.40719002201027
E01007432,30.74772886093641,2.795248078266946,4.8916841369671555,0.6988120195667366,16.07267645003494,2.0964360587002098,NA,NA,NA,0.6988120195667366,1.397624039133473,59.399021663172604,28.6512928022362
E01007433,59.44272445820433,9.907120743034056,6.191950464396285,0.6191950464396285,17.956656346749224,3.0959752321981426,NA,NA,NA,6.191950464396285,6.811145510835914,110.21671826625386,50.77399380804954
E01007434,42.9384376616658,9.82928091050181,3.1039834454216244,1.0346611484738748,25.86652871184687,4.138644593895499,NA,NA,0.5173305742369374,5.690636316606311,8.794619762027935,101.91412312467666,58.97568546301086
E01007435,64.59784673844206,1.8999366687777073,2.53324889170361,0.6333122229259025,18.999366687777076,0.6333122229259025,NA,0.6333122229259025,0.6333122229259025,NA,5.06649778340722,95.63014566181128,31.032298923369225
E01007436,60.773480662983424,7.892659826361484,3.946329913180742,1.5785319652722967,17.363851617995266,4.735595895816891,NA,NA,NA,3.946329913180742,5.524861878453039,105.76164167324389,44.98816101026046
E01007437,89.4308943089431,20.32520325203252,2.710027100271003,2.032520325203252,44.71544715447155,10.840108401084011,0.6775067750677507,NA,2.710027100271003,8.130081300813009,10.16260162601626,191.73441734417344,102.30352303523036
E01007438,44.9582530507386,1.9267822736030829,1.2845215157353884,1.2845215157353884,17.341040462427745,1.9267822736030829,NA,0.6422607578676942,NA,3.2113037893384715,2.569043031470777,75.14450867052022,30.18625561978163
E01007439,32.231404958677686,2.479338842975207,NA,NA,4.958677685950414,1.6528925619834711,NA,NA,NA,0.8264462809917356,1.6528925619834711,43.80165289256198,11.570247933884298
E01007440,104.60526315789474,15.131578947368421,3.289473684210526,3.289473684210526,26.31578947368421,2.631578947368421,2.631578947368421,0.6578947368421052,5.263157894736842,7.894736842105264,9.868421052631579,181.57894736842104,76.97368421052632
E01007441,95.64085881587509,6.506180871828237,3.903708523096942,1.951854261548471,19.518542615484712,3.2530904359141184,NA,0.6506180871828238,NA,7.807417046193884,9.108653220559532,148.34092387768382,52.70006506180872
E01007442,34.85838779956428,6.5359477124183005,4.357298474945535,0.7262164124909223,15.97676107480029,2.1786492374727673,NA,NA,NA,2.1786492374727673,4.357298474945535,71.1692084241104,36.31082062454612
E01007443,122.0,11.0,8.5,2.0,46.0,4.0,0.5,1.0,2.0,6.0,17.5,220.5,98.5
E01007444,32.903225806451616,5.161290322580645,0.6451612903225806,0.6451612903225806,10.96774193548387,0.6451612903225806,NA,0.6451612903225806,NA,1.2903225806451613,5.161290322580645,58.064516129032256,25.161290322580644
E01007445,62.71536871123364,11.71605789110958,7.580978635423846,NA,39.28325292901447,4.135079255685734,NA,2.067539627842867,NA,6.202618883528601,19.297036526533425,152.99793246037217,90.28256374913853
