"","LSOA11CD","OA11CD","LSOA11NM","nonUK","nonUKZoneProp.oa","Country of Birth: All categories: Country of birth","nonUK.lsoa","Country of Birth: All categories: Country of birth.lsoa","nonUKZoneProp.lsoa"
"58","E01007668","E00038873","Rotherham 030B",4,1.67364016736402,239,49,1571,3.11903246339911
"59","E01007669","E00038827","Rotherham 030C",5,1.45348837209302,344,39,1504,2.59308510638298
"60","E01007669","E00038842","Rotherham 030C",7,2.05278592375367,341,39,1504,2.59308510638298
"61","E01007669","E00038852","Rotherham 030C",16,3.75586854460094,426,39,1504,2.59308510638298
"62","E01007669","E00038846","Rotherham 030C",11,2.79898218829517,393,39,1504,2.59308510638298
"63","E01007670","E00038828","Rotherham 030D",8,1.82648401826484,438,28,1449,1.93236714975845
"64","E01007670","E00038853","Rotherham 030D",2,1.78571428571429,112,28,1449,1.93236714975845
"65","E01007670","E00038835","Rotherham 030D",5,1.27877237851662,391,28,1449,1.93236714975845
"66","E01007670","E00038848","Rotherham 030D",0,0,186,28,1449,1.93236714975845
"67","E01007670","E00038865","Rotherham 030D",13,4.03726708074534,322,28,1449,1.93236714975845
"68","E01007671","E00168782","Rotherham 031A",17,6.25,272,62,2117,2.92867264997638
"69","E01007671","E00168789","Rotherham 031A",5,2.1551724137931,232,62,2117,2.92867264997638
"70","E01007671","E00038845","Rotherham 031A",7,2.89256198347107,242,62,2117,2.92867264997638
"71","E01007671","E00168780","Rotherham 031A",8,2.8169014084507,284,62,2117,2.92867264997638
"72","E01007671","E00038849","Rotherham 031A",6,2.34375,256,62,2117,2.92867264997638
"73","E01007671","E00038832","Rotherham 031A",5,1.62866449511401,307,62,2117,2.92867264997638
"74","E01007671","E00038851","Rotherham 031A",1,0.33003300330033,303,62,2117,2.92867264997638
"75","E01007671","E00168781","Rotherham 031A",13,5.88235294117647,221,62,2117,2.92867264997638
"76","E01007672","E00038830","Rotherham 030E",13,3.30788804071247,393,36,1433,2.51221214235869
"77","E01007672","E00038838","Rotherham 030E",6,2.39043824701195,251,36,1433,2.51221214235869
"78","E01007672","E00038855","Rotherham 030E",9,1.99556541019956,451,36,1433,2.51221214235869
"79","E01007672","E00038858","Rotherham 030E",8,2.36686390532544,338,36,1433,2.51221214235869
"80","E01007673","E00038831","Rotherham 030F",9,4.10958904109589,219,63,1496,4.21122994652406
"81","E01007673","E00038856","Rotherham 030F",9,3.68852459016393,244,63,1496,4.21122994652406
"82","E01007673","E00038836","Rotherham 030F",16,4.59770114942529,348,63,1496,4.21122994652406
"83","E01007673","E00038862","Rotherham 030F",8,4.04040404040404,198,63,1496,4.21122994652406
"84","E01007673","E00038860","Rotherham 030F",13,4.88721804511278,266,63,1496,4.21122994652406
"85","E01007673","E00038864","Rotherham 030F",8,3.61990950226244,221,63,1496,4.21122994652406
"86","E01007674","E00038866","Rotherham 031B",8,1.90930787589499,419,43,1939,2.21763795771016
"87","E01007674","E00038857","Rotherham 031B",8,1.4336917562724,558,43,1939,2.21763795771016
"88","E01007674","E00038863","Rotherham 031B",10,3.24675324675325,308,43,1939,2.21763795771016
"89","E01007674","E00038861","Rotherham 031B",4,1.87793427230047,213,43,1939,2.21763795771016
"90","E01007674","E00038859","Rotherham 031B",6,3.03030303030303,198,43,1939,2.21763795771016
"91","E01007674","E00038837","Rotherham 031B",7,2.88065843621399,243,43,1939,2.21763795771016
"92","E01007675","E00038879","Rotherham 023A",88,23.7196765498652,371,388,1854,20.9277238403452
"93","E01007675","E00038880","Rotherham 023A",87,21.75,400,388,1854,20.9277238403452
"94","E01007675","E00038885","Rotherham 023A",60,15.3846153846154,390,388,1854,20.9277238403452
"95","E01007675","E00038884","Rotherham 023A",40,14.2348754448399,281,388,1854,20.9277238403452
"96","E01007675","E00038905","Rotherham 023A",113,27.4271844660194,412,388,1854,20.9277238403452
"97","E01007676","E00038893","Rotherham 025A",21,8.17120622568093,257,97,1629,5.95457335788828
"98","E01007676","E00038877","Rotherham 025A",13,4.15335463258786,313,97,1629,5.95457335788828
"99","E01007676","E00038887","Rotherham 025A",31,11.5241635687732,269,97,1629,5.95457335788828
"100","E01007676","E00038897","Rotherham 025A",8,2.77777777777778,288,97,1629,5.95457335788828
"101","E01007676","E00038895","Rotherham 025A",11,4.26356589147287,258,97,1629,5.95457335788828
"102","E01007676","E00038896","Rotherham 025A",13,5.32786885245902,244,97,1629,5.95457335788828
